"id","status","address","address_google","location_type","pnt"
1,"OK","
  5225 Blackwater RoadVirginia Beach, VA 23457","5225 Blackwater Rd, Virginia Beach, VA 23457, USA","ROOFTOP",c(-76.090984, 36.620816)
1,"OK","
  Chesapeake, VA 23320","Chesapeake, VA 23320, USA","APPROXIMATE",c(-76.2131474, 36.7578013)
1,"OK","
  7531 Chancellor RoadFredericksburg, VA 22407","7531 Chancellor Rd, Fredericksburg, VA 22407, USA","ROOFTOP",c(-77.5925443, 38.2754194)
1,"OK","
  150 Hidden Meadow LaneLexington, VA 24450","150 Hidden Meadow Ln, Lexington, VA 24450, USA","ROOFTOP",c(-79.6274531, 37.7055354)
1,"OK","
  South Hill, VA ","South Hill, VA, USA","APPROXIMATE",c(-78.1288857, 36.726532)
1,"OK","
  Nokesville, VA 20181","Nokesville, VA 20181, USA","APPROXIMATE",c(-77.5797119, 38.698729)
1,"OK","
  361 Link RoadGalax, VA 24333","Link Rd, Old Town, VA 24333, USA","GEOMETRIC_CENTER",c(-80.978645, 36.6149212)
1,"OK","
  3831 Harry Byrd HighwayBerryville, VA 22611","3831 Harry Byrd Hwy, Berryville, VA 22611, USA","ROOFTOP",c(-77.909325, 39.126679)
1,"OK","
  3701 Charles City RoadRichmond, VA 23231","3701 Charles City Rd, Richmond, VA 23231, USA","ROOFTOP",c(-77.3142654, 37.4814809)
1,"OK","
  5433 Roark Mill RoadHurt, VA 24563","5433 Roark Mill Rd, Hurt, VA 24563, USA","ROOFTOP",c(-79.2622113, 37.0575293)
1,"OK","
  10208 Jamesons Mill RoadCulpeper, VA 22701","10208 Jamesons Mill Rd, Culpeper, VA 22701, USA","ROOFTOP",c(-77.968176, 38.563724)
1,"OK","
  Waynesboro, VA 22980","Waynesboro, VA 22980, USA","APPROXIMATE",c(-78.8894682, 38.0684692)
