name,phone,address,address_google,location_type,pnt,
Liber Farms,NA,Nokesville VA 20181,"Nokesville, VA 20181, USA",APPROXIMATE,c(-77.5797119, 38.698729)
Double H Farm,(276) 781-6268,361 Link RoadGalax VA 24333,"361 Link Rd, Galax, VA 24333, USA",ROOFTOP,c(-80.9791425, 36.6196799)
Glenwood Farm,NA,3831 Harry Byrd HighwayBerryville VA 22611,"3831 Harry Byrd Hwy, Berryville, VA 22611, USA",ROOFTOP,c(-77.909325, 39.126679)
Romans Roost,NA,3701 Charles City RoadRichmond VA 23231,"3701 Charles City Rd, Richmond, VA 23231, USA",ROOFTOP,c(-77.3142654, 37.4814809)
Windy Ridge Farms,NA,5433 Roark Mill RoadHurt VA 24563,"5433 Roark Mill Rd, Hurt, VA 24563, USA",ROOFTOP,c(-79.2622113, 37.0575293)
Saddle Ridge Farm,NA,10208 Jamesons Mill RoadCulpeper VA 22701,"10208 Jamesons Mill Rd, Culpeper, VA 22701, USA",ROOFTOP,c(-77.968176, 38.563724)
Redwood Farms,NA,Waynesboro VA 22980,"Waynesboro, VA 22980, USA",APPROXIMATE,c(-78.8894682, 38.0684692)
Alpacas Plus of Virginia,(434) 233-2082,South Hill VA ,"South Hill, VA, USA",APPROXIMATE,c(-78.1288857, 36.726532)
Nonesuch Farm,(703) 594-3840,14307 Fitzwater DriveNokesville VA 20181,"14307 Fitzwater Dr, Nokesville, VA 20181, USA",ROOFTOP,c(-77.6202546, 38.7125114)
Bou’s Zoo,(540) 325-8710,24 Stayman RoadQuicksburg VA 22847,"24 Stayman Rd, Quicksburg, VA 22847, USA",ROOFTOP,c(-78.6844354, 38.6928779)
EGGLYNNEGGS COUNTRY FARMS,NA,228 Hidden Springs LaneAylett VA 23009,"228 Hidden Springs Ln, Aylett, VA 23009, USA",ROOFTOP,c(-77.1961204, 37.8618518)
Cobb Hill Alpacas,(757) 876-6087,300 Cobb RoadRural Retreat VA 24368,"300 Cobb Rd, Rural Retreat, VA 24368, USA",ROOFTOP,c(-81.2335389, 36.9522342)
Willow Oak Farm,(804) 435-2566,11704 Mary Ball RoadLancaster VA 22503,"11704 Mary Ball Rd, Lancaster, VA 22503, USA",ROOFTOP,c(-76.41267, 37.750451)
Dominion Farm Pet B & B,(540) 740-3647,927 Kibler RoadQuicksburg VA 22847,"927 Kibler Rd, Quicksburg, VA 22847, USA",ROOFTOP,c(-78.7248013, 38.7423583)
Brownley’s Brown Eggs,NA,Chesapeake VA 23322,"Chesapeake, VA 23322, USA",APPROXIMATE,c(-76.2247366, 36.6215976)
Little Lane Farm,(540) 623-0757,Shenandoah LaneStafford VA 22554,"Shenandoah Ln, Virginia 22554, USA",GEOMETRIC_CENTER,c(-77.4391445, 38.4710667)
Wren Song Farm,NA,Lovettsville VA 20180,"Lovettsville, VA 20180, USA",APPROXIMATE,c(-77.636657, 39.2726017)
Sea Side Farm,(757) 824-3559,33371 Nocks Landing RoadAtlantic VA 23303,"33371 Nocks Landing Rd, Atlantic, VA 23303, USA",ROOFTOP,c(-75.4910554, 37.8958193)
Creekview Farm,(540) 937-7297,5261 Bywaters LaneAmissville VA 20106,"5261 Bywaters Ln, Viewtown, VA 20106, USA",ROOFTOP,c(-78.0120667, 38.6285768)
Wolf’s Head Farm,(804) 380-0594,35 Frenchs Store RoadCumberland VA 23040,"35 Frenchs Store Rd, Cumberland, VA 23040, USA",ROOFTOP,c(-78.1226524, 37.5405706)
Five Young’s Farm,(757) 262-8764,24161 Meherrin RoadCourtland VA 23837,"24161 Meherrin Rd, Courtland, VA 23837, USA",ROOFTOP,c(-77.1065141, 36.692021)
JeSe’s Farm,(434) 990-9309,Stanardsville VA 22973,"Stanardsville, VA 22973, USA",APPROXIMATE,c(-78.4400099, 38.2973519)
Little Garden of Eat’n,(540) 550-1267,96 Ashwood LaneBerryville VA 22611,"96 Ashwood Ln, Berryville, VA 22611, USA",ROOFTOP,c(-77.975248, 39.2235245)
Eastwood Farm,(434) 960-8530,Schuyler VA 22969,"Schuyler, VA 22969, USA",APPROXIMATE,c(-78.6909263, 37.8028124)
Lagniappe Farm Alpacas,(540) 661-3537,9389 Constitution HighwaySomerset VA 22972,"9389 Constitution Hwy, Somerset, VA 22972, USA",ROOFTOP,c(-78.2078848, 38.2224068)
Scarlett Hill Farm,NA,Purcellville VA ,"Purcellville, VA, USA",APPROXIMATE,c(-77.7147153, 39.1367717)
Southern Fried Country Market,(757) 426-5959,4100 Charity Neck RoadVirginia Beach VA 23457,"4100 Charity Neck Rd, Virginia Beach, VA 23457, USA",ROOFTOP,c(-75.9996232, 36.6714011)
BAWKANQUACK FARM,(540) 550-1267,96 Ashwood LaneBerryville VA 22611,"96 Ashwood Ln, Berryville, VA 22611, USA",ROOFTOP,c(-77.975248, 39.2235245)
Red Door,NA,Gloucester VA 23061,"Gloucester, VA 23061, USA",APPROXIMATE,c(-76.5266174, 37.4098631)
Painted Trails,(540) 295-6607,6561 Courtneys LaneSpotsylvania Courthouse VA 22551,"6561 Courtneys Ln, Spotsylvania Courthouse, VA 22551, USA",ROOFTOP,c(-77.660922, 38.141588)
R Half Pint Farm,(540) 895-5877,13240 Brooke Ridge LaneSpotsylvania Courthouse VA 22551,"13240 Brooke Ridge Ln, Spotsylvania Courthouse, VA 22551, USA",ROOFTOP,c(-77.797903, 38.143126)
Tilton Family Farm,(276) 620-9154,23107 Bluff Hollow RoadDamascus VA 24236,"23107 Bluff Hollow Rd, Damascus, VA 24236, USA",ROOFTOP,c(-81.865041, 36.625278)
Little Stream Farm LLC,(703) 777-1640,13420 Stream Farm LaneLeesburg VA 20176,"13420 Stream Farm Ln, Leesburg, VA 20176, USA",ROOFTOP,c(-77.5531872, 39.2441774)
