name,address,address_google,location_type,pnt,
Slice of Heaven Farm,"12929 Saint Paul Rd., Clear Spring, MD, 21722","12929 St Paul Rd, Clear Spring, MD 21722, USA",ROOFTOP,c(-77.884061, 39.671913)
Roundabout Hills,"15505 Cattail Oaks, Glenwood, MD, 21738","15505 Cattail Oaks, Glenwood, MD 21738, USA",ROOFTOP,c(-77.0309663, 39.2733291)
Broomes Island Produce Farm,"4085 School Road, Broomes Island, MD 20615","4085 School Rd, Broomes Island, MD 20615, USA",ROOFTOP,c(-76.547628, 38.421096)
Evensong Farm,"18502 Burnside Ridge Road, Sharpsburg, MD, 21782","18502 Burnside Bridge Rd, Sharpsburg, MD 21782, USA",ROOFTOP,c(-77.723196, 39.445785)
Piney Orchard Farmers' Market,"2400 Stream Valley Dr Piney Orchard Community & Visitor's Center Parking Lot, Odenton, MD, 21113","2400 Stream Valley Dr, Odenton, MD 21113, USA",ROOFTOP,c(-76.7170356, 39.0647781)
Wilson's Farm Market,"2115 Waverly Drive, Bel Air, MD, 21015-1013","2115 Waverly Dr, Bel Air, MD 21015, USA",ROOFTOP,c(-76.3227324, 39.5913256)
Willow Valley Farm,"11939 Harford Road Glen Arm, MD 21057","11939 Harford Rd, Glen Arm, MD 21057, USA",ROOFTOP,c(-76.470191, 39.449275)
Oak Spring Farm,"20633 Mt. Zion Rd Freeland, MD 21053","20633 Mt Zion Rd, Freeland, MD 21053, USA",ROOFTOP,c(-76.6855445, 39.6915519)
"Montgomery Farm Women's Co-Op Market, Inc.","7155 Wisconsin Ave, Bethesda, MD, 20814","7155 Wisconsin Ave, Bethesda, MD 20814, USA",ROOFTOP,c(-77.0921049, 38.9811192)
Hilton's Farm & Garden,"24801 Burnt Hill Road Clarksburg, MD 20871","24801 Burnt Hill Rd, Clarksburg, MD 20871, USA",ROOFTOP,c(-77.259799, 39.265013)
Danny's Produce,"29414 Howell Point Rd, Trappe, MD, 21673","29414 Howell Point Rd, Trappe, MD 21673, USA",ROOFTOP,c(-76.0581828, 38.6518917)
White Rose Farm,"5009 Teeter Road, Taneytown, MD, 21787","5009 Teeter Rd, Taneytown, MD 21787, USA",GEOMETRIC_CENTER,c(-77.1546279, 39.7111544)
Cedar Run Farm,"320 John Powell Rd, Sudlersville, MD, 21668","320 John Powell Rd, Sudlersville, MD 21668, USA",ROOFTOP,c(-75.945832, 39.1668779)
"Coons Farms By The Bay, LLC","3231 Williams Point Road, Marion Station, MD, 21838","3231 Williams Point Rd, Marion Station, MD 21838, USA",ROOFTOP,c(-75.654689, 37.968112)
Cumos Ridge Farm,"24400 Old Hundred Rd, Comus, MD, 20842","24400 Old Hundred Rd, Dickerson, MD 20842, USA",ROOFTOP,c(-77.3459412, 39.25573)
Blue Bird Meadows,"39922 Williams Farm Lane, Loveville, MD, 20656","39922 Williams Farm Ln, Leonardtown, MD 20650, USA",ROOFTOP,c(-76.6952961, 38.3713867)
Adam's Acres,"2849 Hernwood Rd, Woodstock, MD, 21163","2849 Hernwood Rd, Woodstock, MD 21163, USA",ROOFTOP,c(-76.851372, 39.349557)
Persimmon Pond Plants,"7600 Dance Hall Rd, Frederick, MD, 21701","7600 Dance Hall Rd, Frederick, MD 21701, USA",ROOFTOP,c(-77.333411, 39.441906)
Valor Ranch,"14770 Governor Oden Bowie Dr Upper Marlboro, MD 20772, USA","14770 Governor Oden Bowie Dr, Upper Marlboro, MD 20772, USA",RANGE_INTERPOLATED,c(-76.7507399, 38.818602)
England Acres Farm,"5620 Detrick Road, Mt. Airy, MD, 21771","5620 Detrick Rd, Mt Airy, MD 21771, USA",ROOFTOP,c(-77.244611, 39.389412)
Carriage House Farms,"1704 Hillside Rd, Stevenson, MD, 21153","1704 Hillside Rd, Stevenson, MD 21153, USA",ROOFTOP,c(-76.7069327, 39.4148149)
"Fischer Family Farms, LLC","1753 Crownsville Road, Annapolis, MD, 21401","1753 Crownsville Rd, Annapolis, MD 21401, USA",ROOFTOP,c(-76.5873588, 39.0042905)
Miolea Organic Farm,"5301 Doubs Road, Adamstown, MD, 21710","5301 Doubs Rd, Adamstown, MD 21710, USA",ROOFTOP,c(-77.4847879, 39.3027036)
"Mason Farms Produce, LLC","1905 Ruthsburg Road, Queen Anne, MD, 21657","1905 Ruthsburg Rd, Queen Anne, MD 21657, USA",ROOFTOP,c(-75.946378, 39.012438)
Kent Island Farmers Market,"Christ Church 830 Romancoke Road, Stevensville, MD, 21666","830 Romancoke Rd, Stevensville, MD 21666, USA",ROOFTOP,c(-76.3398656, 38.9604652)
Greenbranch Organic Farm,"5075 Nutters Cross Rd, Salisbury, MD, 21804","5075 Nutters Cross Rd, Salisbury, MD 21804, USA",ROOFTOP,c(-75.5513468, 38.3307083)
Hometown Harvest,"4635 Wedgewood Blvd Suite 101, Frederick, MD, 21703","4635 Wedgewood Blvd #101, Frederick, MD 21703, USA",ROOFTOP,c(-77.4290494, 39.3672781)
Spruce Run Farm,"12924 Spruce Run Rd, Myersville, MD, 21773-9702","12924 Spruce Run Rd, Myersville, MD 21773, USA",ROOFTOP,c(-77.5232013, 39.5908964)
Calvert County Farmers Market - Prince Frederick,"Calvert Memorial Hospital, 130 Hospital Rd. Parking Lot D, Prince Frederick, MD, 20678","100 Hospital Rd, Prince Frederick, MD 20678, USA",ROOFTOP,c(-76.5963089, 38.5593911)
Morgan Farms,Frederick MD 21703,"Frederick, MD 21703, USA",APPROXIMATE,c(-77.4587239, 39.3729916)
Downtown Westminster Farmers' Market,"Railroad Ave (Rt 27) & Emerald Hill Conway Parking Lot, Westminster, MD, 21157","27 Railroad Ave, Westminster, MD 21157, USA",GEOMETRIC_CENTER,c(-76.9933774, 39.5764316)
Pikesville Farmers' Market,"1700 Reisterstown Road, Pikesville, MD, 21208","1700 Reisterstown Rd, Pikesville, MD 21208, USA",ROOFTOP,c(-76.7308604, 39.3805304)
Kenilworth Farmers' Market,"800 Kenilworth Drive, Towson, MD, 21204","800 Kenilworth Dr, Towson, MD 21204, USA",ROOFTOP,c(-76.6192304, 39.4114587)
Boordy Vineyards - Good Life Thursdays Farmers' Market,"12820 Long Green Pike, Hydes, MD, 21082","12820 Long Green Pike, Hydes, MD 21082, USA",ROOFTOP,c(-76.4839141, 39.476848)
TLV Tree Farm,"15155 Triadelphia Mill Rd, Glenelg, MD, 21737","15155 Triadelphia Mill Rd, Glenelg, MD 21737, USA",ROOFTOP,c(-77.0349803, 39.2369041)
TALMAR Gardens and Horticulture Therapy Center,"1994 Cromwell Bridge Rd, Baltimore, MD, 21234","1994 Cromwell Bridge Rd, Parkville, MD 21234, USA",ROOFTOP,c(-76.5529311, 39.4084454)
Takoma Park Farmers' Market,"Old Town Takoma Park on Laurel Avenue, Takoma Park, MD, 20912","6909 Laurel Ave, Takoma Park, MD 20912, USA",ROOFTOP,c(-77.0123593, 38.973999)
Ferguson Family Farm,"3443 Beckleysville Road Parkton, Maryland 21120","3443 Beckleysville Rd, Parkton, MD 21120, USA",ROOFTOP,c(-76.766724, 39.645699)
"Stokes Creek Farm, LLC","4607 Mt. Carmel Road, Baltimore, MD, 21074","4607 Mt Carmel Rd, Hampstead, MD 21074, USA",ROOFTOP,c(-76.807167, 39.609421)
Wagon Wheel Ranch,"661 West Watersville Road, Mt. Airy, MD, 21771","661 W Watersville Rd, Mt Airy, MD 21771, USA",ROOFTOP,c(-77.1138157, 39.3590151)
Warns Produce,"Middletown and Keeny Mill Road, Freeland, MD, 21053","Keeney Mill Rd & Middletown Rd, 6, MD 21053, USA",GEOMETRIC_CENTER,c(-76.7330675, 39.684272)
Harbaughs Farm Greenhouse Produce,6801 Harbaugh Road Sabillasville MD 21780,"6801 Harbaugh Rd, Sabillasville, MD 21780, USA",ROOFTOP,c(-77.434158, 39.719555)
Horsmon Farm Livestock,"1831 Horsmon Farm Lane, St. Leonard, MD, 20685","1831 Horsmon Farm Ln, St Leonard, MD 20685, USA",ROOFTOP,c(-76.51483, 38.446011)
Mount Airy Main Street Farmers Market,"3 North Main Street Mount Airy, MD 21771","3 N Main St, Mt Airy, MD 21771, USA",ROOFTOP,c(-77.1533736, 39.3764553)
Groundworks Farm,"8284 Gumboro Road Pittsville, Maryland 21850","8284 Gumboro Rd, Pittsville, MD 21850, USA",ROOFTOP,c(-75.409783, 38.419037)
Proud Food Farm,"2600 Briggs Chaney Rd. Silver Spring, MD 20905","2600 Briggs Chaney Rd, Silver Spring, MD 20905, USA",ROOFTOP,c(-76.955746, 39.0874)
Martin Herb Farms,"4929 Ridge Road Baltimore, MD 21237","4929 Ridge Rd, Rosedale, MD 21237, USA",ROOFTOP,c(-76.4861107, 39.3535483)
Spider Hall Farm,"3915 Hallowing Pt Rd, Prince Frederick, MD, 20678","3915 Hallowing Point Rd, Prince Frederick, MD 20678, USA",GEOMETRIC_CENTER,c(-76.6206929, 38.5161204)
Rosemary Ranch,"1930 Rosemary Ln Port Republic, MD 20676","1930 Rosemary Ln, Port Republic, MD 20676, USA",ROOFTOP,c(-76.5356818, 38.5196614)
Butler's Orchard,"22222 Davis Mill Road, Germantown, MD, 20876","22222 Davis Mill Rd, Germantown, MD 20876, USA",ROOFTOP,c(-77.2232222, 39.2214353)
Anne Arundel County Farmers' Market,"Riva Road & Harry S Truman Pkwy, Annapolis, MD, 21401","Riva Rd, Maryland, USA",GEOMETRIC_CENTER,c(-76.5739036, 38.9556676)
Waltz Family Farm,"12063 Waltz Road, Smithsburg, MD, 21783","12063 Waltz Rd, Smithsburg, MD 21783, USA",ROOFTOP,c(-77.623683, 39.646436)
Cross Farms,"9933 Pitts Road Berlin, Maryland 21811","9933 Pitts Rd, Berlin, MD 21811, USA",ROOFTOP,c(-75.228325, 38.393379)
Pleasant Pond Farm,"Pleasant Valley Rd Smithsburg, MD 21783","Pleasant Valley Rd, Maryland 21783, USA",GEOMETRIC_CENTER,c(-77.5327457, 39.6394777)
"Heyser Farms, Inc.","14526 New Hampshire Ave, Silver Spring, MD, 20904","14526 New Hampshire Ave, Silver Spring, MD 20904, USA",ROOFTOP,c(-77.0022928, 39.0944693)
Chesapeake's Bounty,"6415 Saint Leonard Road, Saint Leonard, MD, 20685","6415 St Leonard Rd, St Leonard, MD 20685, USA",ROOFTOP,c(-76.4885651, 38.4486004)
Cambridge Main Street Farmers' Market,"Long Wharf Park (High Street), Cambridge, MD, 21613","Long Wharf Park, Cambridge, MD 21613, USA",GEOMETRIC_CENTER,c(-76.0738186, 38.5755888)
Clear Spring Creamery,"14322 Saint Pauls Church Road, Clear Spring, MD, 21722","St Pauls Church Rd, Wilsons, MD 21722, USA",GEOMETRIC_CENTER,c(-77.8874692, 39.6524066)
De La Tierra Gardens,"3968 Harney Road, Taneytown, MD, 21787","3968 Harney Rd, Taneytown, MD 21787, USA",ROOFTOP,c(-77.1875199, 39.6847583)
Calvert's Gift Farm,"16813 Yeoho Rd, Sparks, MD, 21152","16813 Yeoho Rd, Sparks Glencoe, MD 21152, USA",ROOFTOP,c(-76.738673, 39.584856)
"Holly Hill Homemade Goods, LLC","Parsonsburg, MD, 21849","Parsonsburg, MD 21849, USA",APPROXIMATE,c(-75.4577775, 38.3472925)
"South Mountain Creamery, LLC","8305 Bolivar Road, Middletown, MD, 21769","8305 Bolivar Rd, Middletown, MD 21769, USA",ROOFTOP,c(-77.6032994, 39.4584803)
32nd Street/Waverly Farmers' Market,"400 East 32nd St, Baltimore, MD, 00000","400 E 32nd St, Baltimore, MD 21218, USA",ROOFTOP,c(-76.610927, 39.3280483)
Bel Air Farmers' Market,"2 S. Bond Street (Mary Risteau Building Parking Lot), Bel Air, MD, 21014-3737","2 S Bond St, Bel Air, MD 21014, USA",ROOFTOP,c(-76.3506598, 39.5354935)
Breezy Willow Farm,"12690 Old Frederick Road, West Friendship, MD, 21794","12690 Old Frederick Rd, Sykesville, MD 21784, USA",GEOMETRIC_CENTER,c(-76.9530537, 39.3233077)
DLL Farms,"100 Clarks Corner Road, Centreville, MD, 21617","100 Clark Corner Rd, Centreville, MD 21617, USA",ROOFTOP,c(-75.9712473, 39.0758063)
Camden Avenue Farmers Market,"1401 Camden Avenue, Salisbury, MD, 21801","1401 Camden Ave, Salisbury, MD 21801, USA",ROOFTOP,c(-75.6088968, 38.3411935)
Hurry Burry Farm,"3911 Garfield Road, Smithsburg, MD 21783","3911 Garfield Rd, Smithsburg, MD 21783, USA",ROOFTOP,c(-77.5358887, 39.6123554)
Hereford Farmers Market,"17004 York Road, Parkton, MD, 21120","17004 York Rd, Parkton, MD 21120, USA",ROOFTOP,c(-76.6634354, 39.590931)
Janet's Organics,"3227 Sharon Road, Jarrettsville, MD, 21084","3227 Sharon Rd, Jarrettsville, MD 21084, USA",ROOFTOP,c(-76.4063012, 39.6220871)
East Rivendell Farm,"26904 Clarksburg Rd., Damascus, MD, 20874","26904 Clarksburg Rd, Damascus, MD 20872, USA",ROOFTOP,c(-77.261922, 39.299196)
Sandy Spring CSA,"15225 Baughman Drive, Silver Spring, MD, 20906","15225 Baughman Dr, Silver Spring, MD 20906, USA",ROOFTOP,c(-77.044969, 39.104168)
Harvest Grove Garden Market,"10835 Cathell Road, Berlin, MD, 21811","10835 Cathell Rd, Berlin, MD 21811, USA",ROOFTOP,c(-75.1797312, 38.3733508)
Rocklands Farm Winery,"14525 Montevideo Rd, Poolesville, MD, 20837","14525 Montevideo Rd, Poolesville, MD 20837, USA",ROOFTOP,c(-77.3466986, 39.0939393)
Full Cellar Farm,"3901 Lander Road, Jefferson, MD, 21755","3901 Lander Rd, Jefferson, MD 21755, USA",RANGE_INTERPOLATED,c(-77.5411633, 39.3395858)
Even Star Organic Farm,"48322 Far Cry Rd, Lexington Park, MD, 20653","48322 Far Cry Rd, Lexington Park, MD 20653, USA",ROOFTOP,c(-76.401164, 38.230996)
Fell's Point Farmers Market,"800 South Broadway Broadway Square, Baltimore, MD, 21231","800 S Broadway, Baltimore, MD 21231, USA",ROOFTOP,c(-76.5936312, 39.2824523)
Gast Family Farms,"3957 Old Federal Hill Road, Jarrettsville, MD, 21084","3957 Old Federal Hill Rd, Jarrettsville, MD 21084, USA",ROOFTOP,c(-76.4552026, 39.6271889)
Olney Farmers Market,"2805 Onley Sandy Spring Rd Olney, MD 20830","2805 Olney Sandy Spring Rd, Olney, MD 20832, USA",ROOFTOP,c(-77.0582865, 39.1509223)
Central Farm Markets - Bethesda Central,"7600 Arlington Road, Bethesda, MD, 20814","7600 Arlington Rd, Bethesda, MD 20814, USA",ROOFTOP,c(-77.0998827, 38.9866807)
Nice Farms Creamery,"25786 Auction Road, Federalsburg, MD, 21632","25786 Auction Rd, Federalsburg, MD 21632, USA",ROOFTOP,c(-75.80705, 38.76475)
Wallin Organic Farm,"2130 Cecilton -Warwick Rd Warwick, MD, 21912","2130 Cecilton Warwick Rd, Warwick, MD 21912, USA",ROOFTOP,c(-75.778426, 39.410251)
Dartraigh,"4105 Mills Rd Sharpsburg, MD 21782","4105 Mills Rd, Sharpsburg, MD 21782, USA",ROOFTOP,c(-77.72381, 39.427495)
Sunny Meadows Garden Center,"7437 Sharpsburg Pike, Boonsboro, MD, 21713","7437 Sharpsburg Pike, Boonsboro, MD 21713, USA",GEOMETRIC_CENTER,c(-77.7416316, 39.5201764)
"Nick's Organic Farm, LLC","8565 Horseshoe Lane, Potomac, MD, 20854 2733 Buckeystown Pike, Adamstown, MD 21710","8565 Horseshoe Ln, Potomac, MD 20854, USA",ROOFTOP,c(-77.2179303, 38.9966073)
Montgomery Village Farmers' Market,"9801 Centerway Road, Montgomery Village, MD, 20886","9801 Centerway Rd, Montgomery Village, MD 20886, USA",ROOFTOP,c(-77.2026552, 39.1730504)
Rocky Point Creamery,"4323 Tuscarora Rd, Tuscarora, MD, 21790","4323 Tuscarora Rd, Tuscarora, MD 21790, USA",ROOFTOP,c(-77.5154964, 39.2743185)
Sattva Place,"15209 Motters Station Road, Rocky Ridge, MD, 21778","15209 Motters Station Rd, Rocky Ridge, MD 21778, USA",ROOFTOP,c(-77.324889, 39.65181)
Red Wiggler Community Farm,"23400 Ridge Road, Germantown, MD, 20876","23400 Ridge Rd, Germantown, MD 20876, USA",ROOFTOP,c(-77.2361371, 39.2404854)
Silver Spring FRESHFARM Market,"Ellsworth Dr between Fenton & Cedar, Silver Spring, MD, 20910","Fenton St + Ellsworth Dr, Silver Spring, MD 20910, USA",GEOMETRIC_CENTER,c(-77.025125, 38.996513)
Rumbleway Farm,"592 McCauley Rd, Conowingo, MD, 21918","592 McCauley Rd, Conowingo, MD 21918, USA",ROOFTOP,c(-76.123193, 39.667186)
St. Michael's FRESHFARM Market,"Muskrat Park on the St Michaels Harbor Corner of Willow & Green St, St Michaels, MD, 21663","Muskrat Park, 207 Willow Green St #2, St Michaels, MD 21663, USA",ROOFTOP,c(-76.2223277, 38.7854166)
Oakie Doke Farms,"10330 Oak Hill Road Keymar, MD 21757","10330 Oak Hill Rd, Keymar, MD 21757, USA",ROOFTOP,c(-77.306312, 39.559331)
Keyes Creamery,"3712 Aldino Rd Aberdeen, MD","3712 Aldino Rd, Aberdeen, MD 21001, USA",ROOFTOP,c(-76.192857, 39.565913)
Summer Creek Farm,"15209 Mud College Road, Thurmont, MD, 21788","15209 Mud College Rd, Thurmont, MD 21788, USA",ROOFTOP,c(-77.3591442, 39.6506328)
Windy Willow Farm,"421 Clyde Jones Road, Sunderland, MD, 20689","421 C Jones Rd, Sunderland, MD 20689, USA",ROOFTOP,c(-76.6097939, 38.673581)
Berlin Organics,"8816 Stephen Decatur Hgwy Route 611, Berlin, MD, 21811","8816 Stephen Decatur Hwy, Berlin, MD 21811, USA",ROOFTOP,c(-75.1388964, 38.3019736)
Deliteful Dairy,"16230 Long Delite Lane, Williamsport, MD 21795","16230 Long Delite Ln, Williamsport, MD 21795, USA",RANGE_INTERPOLATED,c(-77.8097596, 39.5703244)
Kilby Cream,"129 Strohmaier Lane, Rising Sun, MD, 21911","129 Strohmaier Ln, Rising Sun, MD 21911, USA",ROOFTOP,c(-76.058511, 39.680155)
Eve's Cheese,"23991 Melitota Rd, Chestertown, MD 21620","23991 Melitota Rd, Chestertown, MD 21620, USA",ROOFTOP,c(-76.1396649, 39.254055)
Farmers Market at the NCI-Frederick,"Sultan Street Parking Lot in front of Building 549, Frederick, MD, 21702","1050 Boyles St, Frederick, MD 21702, USA",ROOFTOP,c(-77.434774, 39.43668)
Good Hope Farmstead,"10820 Renner Road Woodsboro, MD 21029","10820 Renner Rd, Woodsboro, MD 21798, USA",ROOFTOP,c(-77.2485679, 39.5310273)
R & R Farm,"2543 Murkle Rd, Westminster, MD, 21158","2543 Murkle Rd, Westminster, MD 21158, USA",ROOFTOP,c(-77.021071, 39.64413)
Middletown Farmers Market,"12 S Church St Middletown, MD 21769","12 S Church St, Middletown, MD 21769, USA",ROOFTOP,c(-77.5450141, 39.4428815)
Brad's Produce,"550 Asbury Rd, Churchville, MD, 21028","550 Asbury Rd, Churchville, MD 21028, USA",ROOFTOP,c(-76.2590229, 39.5402377)
MKONO Farm,"3225 Soper Rd Huntingtown, MD 20639","3225 Soper Rd, Huntingtown, MD 20639, USA",ROOFTOP,c(-76.658186, 38.567197)
Thorne Farm,"1130 Martin Drive, Westminster, MD, 21157","1130 Martin Dr, Westminster, MD 21157, USA",ROOFTOP,c(-76.9579024, 39.5981253)
Myersville Farmers Market,"301 Main Street Myersville, Maryland 21773","301 Main St, Myersville, MD 21773, USA",ROOFTOP,c(-77.565972, 39.5060011)
Field Fresh Farmers Market,"Frederick Fairgrounds, 797 E Patrick Street, Frederick, MD","797 E Patrick St, Frederick, MD 21701, USA",ROOFTOP,c(-77.394615, 39.411157)
Naturally Sunkissed Farm,"12728 Jarvis Rd Bishopville, MD 21813","12728 Jarvis Rd, Bishopville, MD 21813, USA",ROOFTOP,c(-75.194578, 38.42874)
High Country Creamery and Market,"97 Locker Lane Grantsville, MD 21536","97 Locker Ln, Grantsville, MD 21536, USA",ROOFTOP,c(-79.1593141, 39.7025009)
La Plata Farmers Market,"209 washington ave, la plata md 20646","209 Washington Ave, La Plata, MD 20646, USA",ROOFTOP,c(-76.978465, 38.532228)
Five Cedars Farm,2617 Old Fort Schoolhouse Rd Hampstead MD 21074,"2617 Old Fort Schoolhouse Rd, Hampstead, MD 21074, USA",ROOFTOP,c(-76.9021704, 39.6483697)
BlueLand Farm,"5955 Old Bohn Rd. Mt. Airy, MD 21771","5955 Old Bohn Rd, Mt Airy, MD 21771, USA",ROOFTOP,c(-77.1634752, 39.3989198)
Whispering Breeze Farm,"Angell Rd., Taneytown, MD 21787","Angell Rd, Taneytown, MD 21787, USA",GEOMETRIC_CENTER,c(-77.1525354, 39.6695991)
Cabin Creek Heritage Farm,"18235 Clagett Landing Road, Upper Marlboro, MD, 20774","18235 Clagett Landing Rd, Upper Marlboro, MD 20774, USA",ROOFTOP,c(-76.6868448, 38.8733271)
Earth Goddess Organics & Eyectchers Landscaping,"4709A Elmer Derr Rd Frederick, MD, 21703","4709A Elmer Derr Rd, Frederick, MD 21703, USA",ROOFTOP,c(-77.5037365, 39.3591666)
Druid Hill Farmers' Market,"3100 Swann Drive, Baltimore, MD, 21217","3100 Swann Dr, Baltimore, MD 21217, USA",ROOFTOP,c(-76.6458287, 39.3185424)
Emily's Produce,"2206 Church Creek Road, Cambridge, MD, 21613","2206 Church Creek Rd, Cambridge, MD 21613, USA",ROOFTOP,c(-76.126475, 38.523852)
Faerie Springs Farm,"8846 Mapleville Rd, Boonsboro, MD, 21713","8846 Mapleville Rd, Boonsboro, MD 21713, USA",RANGE_INTERPOLATED,c(-77.6484949, 39.5592655)
Perryville Farmers Market,"Broad Street & Roundhouse Drive, Perryville, MD, 21903","1015 15th Street NW, #600, Washington, DC 20005, USA",ROOFTOP,c(-77.0343316, 38.9028001)
Fridays Creek Winery,"3485 Chaneyville Road, Owings, MD, 20736","3485 Chaneyville Rd, Owings, MD 20736, USA",ROOFTOP,c(-76.6737115, 38.6796964)
"Chesapeake Bay Farms, Inc.","8905 Logtown Rd, Pocomoke City, MD, 21811","8905 Logtown Rd, Berlin, MD 21811, USA",ROOFTOP,c(-75.2610406, 38.3646731)
"Chapel's Country Creamery, LLC","10380 Chapel Road, Easton, MD, 21601","10380 Chapel Rd, Easton, MD 21601, USA",ROOFTOP,c(-76.005294, 38.835138)
Baltimore County Farmers' Market,"Maryland State Fairgrounds North Gate, Timonium, MD, 21094","2200 York Rd, Lutherville-Timonium, MD 21093, USA",ROOFTOP,c(-76.6311747, 39.4460027)
Prigel Family Creamery,"4852 Long Green Road, Baltimore, MD, 21057","4852 Long Green Rd, Glen Arm, MD 21057, USA",ROOFTOP,c(-76.5077351, 39.4716042)
AmblingBrook Farm,"4810 Elmer Derr Rd, Frederick, MD, 21703","4810 Elmer Derr Rd, Frederick, MD 21703, USA",ROOFTOP,c(-77.4999505, 39.3645709)
Calvert County Farmers Market - Solomons,"Parking lot in front of Library, 13920 Solomons Island Rd., Solomons, MD","13920 Solomons Island Rd S, Solomons, MD 20688, USA",RANGE_INTERPOLATED,c(-76.4658396, 38.3339684)
Caprikorn Farms LLC,"20312 Townsend Rd, Rohrersville, MD, 21779","20312 Townsend Rd, Rohrersville, MD 21779, USA",ROOFTOP,c(-77.660539, 39.412564)
Ocean Pines Farmers Market,"239 Ocean Parkway White Horse Park, Ocean Pines, MD, 21811","White Horse Park, 239 Ocean Pkwy, Ocean Pines, MD 21811, USA",ROOFTOP,c(-75.1598596, 38.3993885)
Belle Creek Farm,"9703 Bethel Road, Frederick, MD, 21702","9703 Bethel Rd, Frederick, MD 21702, USA",ROOFTOP,c(-77.4455881, 39.497671)
Lakeside Creamery,"20282 Garrett Highway, Deer Park, MD, 21550","20282 Garrett Hwy, Oakland, MD 21550, USA",ROOFTOP,c(-79.3926802, 39.4271133)
Kate's Koop,"4650 Hallowing Point Road, Prince Frederick, MD, 20678","4650 Hallowing Point Rd, Prince Frederick, MD 20678, USA",ROOFTOP,c(-76.626709, 38.50883)
Lehigh View Farm,"6 Hoff Rd, Union Bridge, MD, 21791","6 Hoff Rd, Union Bridge, MD 21791, USA",ROOFTOP,c(-77.1543049, 39.572042)
Milburn Orchards,"1495 Appleton Rd, Elkton, MD, 21921","1495 Appleton Rd, Elkton, MD 21921, USA",GEOMETRIC_CENTER,c(-75.8138096, 39.6705305)
