name,phone,address,website
Cultivale Farm,(410) 596-1276,"717 MULLER RD
WESTMINSTER, MD 21157",www.cultivale.com
Reisterstown Farmers Market,NA,"120 Main Street
Reisterstown, MD 21136
",NA
Gracehaven Farm,(240) 216-8353,"14155 River Road
Newburg, MD 20664",NA
TALMAR Inc,(410) 825-2020,"1994 Cromwell Bridge Road
Baltimore, MD 21234
",NA
TALMAR Farm,(410) 825-2020,"1994 Cromwell Bridge Road
Baltimore, MD 21234
",NA
Weber's Cider Mill Farm,(410) 668-4488,"2526 Proctor Lane
Parkville, MD 21234",NA
Pearlstone Center,NA,"5425 Mount Gilead Road
Reisterstown, MD 21136
From Baltimore: Take I-695 to Exit 19 (I-795, Northwest Expressway). Travel 10 miles and take Exit 9B for MD-140 West. Continue onto MD-140 W for three miles, then turn right onto MD-91 N/Emory Road Travel 4.7 miles and turn right onto MD-30 S. In 1.9 miles, turn right onto Mt. Gilead Road. Go around the curve to a stop sign and follow signs pointing ï¿½Pearlstone Retreat Centerï¿½ and ""UPick"".",www.pearlstonecenter.org
Grazy Days Family Farm,NA,"12102 Coppermine Road
Union Bridge, MD 21791
On-farm sales by appointment only Please turn into our long dirt drive at our faded white farm sign. Proceed to the white farm house with a red metal roof unless otherwise arranged in advance.",grazydays.com
SC Burton Farms,(410) 592-8651,"5533 Glenview Rd
Glen Arm, MD 21057",NA
Nut N Fancy Farm,(301) 418-5363,"10701 Dorcus Rd
Woodsboro, MD 21798",www.nutnfancyfarm.com/
Nut N Fancy Farm Handmade Soap,(301) 418-5363,NA,NA
Full Circle Farm,(443) 912-0794,"920 Bird River Beach Rd.
Middleriver, MD 21220",FullCircleFarmLLC.com
Open Book Farm,NA,"6600B Roy Shafer Rd
Middletown, MD 21769
Our farm is not visible from the road (there is a sign at the street) but drive up the lane and you'll see our big red barn from the top of the hill.",openbookfarm.com
Genuine Food Company,NA,"4851 Long Green Rd
Glen Arm, MD 21057",genuinefoodmd.com/
Calvert's Gift Farm,(410) 472-6764,"16813 Yeoho Road
Sparks, MD 21152",www.calvertsgiftfarm.com
Eastern Shore Food Co-op,(410) 713-8803,"7326 Bell Lane
Whaleyville, MD 21782
Pick ups are at Ocean Pines Farmers' Market Saturday mornings from 8a-1p and also at the Whaleyville location by arrangement. We have a Salisbury MD and Sussex county DE host site if we can find enough people interested to support a site.",www.easternshorefoodcoop.com
Bird's Eye View Farm,NA,"2909 Byrd Road
Pocomoke City, MD 21851",NA
Snow Hill Farmers market,(410) 632-2080,"West Green Street
Snow Hill, MD 21863",NA
Naturally Sunkissed Farm,(443) 880-8148,"12728 Jarvis Rd
Bishopville, MD 21813",www.naturallysunkissedfarm.com
Ocean Pines Farmers Market,NA,"239 Ocean Parkway
Ocean Pines, MD 21811",NA
"Berlin ""Shore Fresh"" Farmers Market",(410) 641-2355,"North Main Street
Berlin, MD 21811",NA
Berlin Organics,NA,"8816 Stephen Decatur Hgwy
Berlin, MD 21811",www.BerlinOrganics.com
LaVale Country Club Mall Farmers Market,NA,"Center Court of LaVale Country Club Mall
Cumberland, MD 21502",NA
"Allegany Mountain Fresh Farmers Market - Downtown Cumberland, Maryland",(304) 738-1093,"113 Baltimore Street
Cumberland, MD 21502",NA
Allegany Mountain Fresh Farmers Market,(301) 724-3320,"Cumberland Downtown Pedestrian Mall
Cumberland, MD 21502",NA
Assateague Farm & Nursery,(410) 461-8746,"11832 Assateague Rd
Berlin, MD 21811",NA
Frostburg Farmers Market,(301) 724-3320,"Downtown Frostburg Main Street
Frostburg, MD 21532",NA
BlueBell Farm Alpacas,(301) 895-3476,"1285 Hare Hollow Rd
Grantsville, MD 21536",NA
Garrett Growers Farmer Cooperative,NA,"1916 Maryland Hwy, Ste A
Oakland, MD 21550",www.garrettgrowers.com
"Mountain Fresh Farmers Market - Oakland, Maryland",NA,"2nd Street & Town Park Lane
Oakland, MD 21550",NA
DeBerry Farm,(301) 533-1026,"110 DeBerry Lane
Oakland, MD 21550",www.deberryfarm.com
