"username","location","messages"
"FrankieDoodle","California","3,666"
"Butterscotchbitesfinger","NSW Australia","3,336"
"Meg-in-MT","SW Montana","6,150"
"chrissynemetz","Olathe Colorado","11,049"
"sharron","scottdale pa","9,075"
"CarpCharacin","Salt Lake City, UT","8,855"
"staceyj","Coastal NC","7,998"
"featherhead007","Tulare County CA.","9,946"
"MagpieDucks","Minnesota","6,220"
"RiverStorm","Kentucky","505"
"DigMyChicks","Appleton, MN","8,338"
"cavemanrich","Melrose Park  Illinois","13,854"
"Redhead Rae","Braxton County, WV","7,898"
"ChickenCowboy02","Western New York","1,083"
"Flufferes","washington state","355"
"roosterhavoc",NA,"19,249"
"muddy75","southern indiana","5,710"
"AlleysChicks","Southern Ohio","15,183"
"LoveMyChickenBabies","Kansas USA","975"
"Tesumph","BCS, Texas","4,981"
"CSAchook","New Mexico","4,837"
"MaryJanet","Adelaide, South Australia","4,678"
"Molpet","New Lenox township. Illinois USA","9,582"
"h2oratt","Morada, california","17,945"
"Cluckcluck1215","Searching","2,780"
"microchick","NE Missouri","8,242"
"fldiver97","Middleton, WI","6,520"
"MysticChocobo","North Carolina","1,031"
"FlyingNunFarm","Chesterland, OH","5,788"
"Blooie","Northwestern Wyoming","17,197"
"The Phantom","SE Wisconsin","3,654"
"Brahmachicken240",NA,"5,248"
"RUNuts","Eastern Houston","4,927"
"The Farmers' Daughter","Darwell Alberta","5,835"
"KLIL","Queensland, Australia","4,589"
"Trimurtisan","A cypress swamp in FL","6,759"
"CCUK","North Notts, UK","5,834"
"WannaBeHillBilly","Big Chimney, WV","5,356"
"getaclue","Central Florida","9,492"
"biophiliac","DeForest, WI","6,876"
"Teila","Forrest Beach, FNQ, Australia","16,612"
"chickadoodles","Gone camping","13,304"
"ChickenLady2014","Michigan","16,088"
"bobbi-j","On the MN prairie.","14,533"
"CindyinSD","Black Hills, South Dakota, USA","5,964"
"mlm Mike","Hardy Township, OH","17,855"
"WhoDatChick","Nawlins, Louisiana","5,005"
"COChix","Colorado","3,445"
"MeMotherHen",NA,"36"
"autumnhearth","Berea, Ohio","737"
"Fancychooklady","Tasmania. Australia","10,255"
"aoxa","Shediac Cape NB, Canada","19,042"
"LittleMissPurdy","North Central Pa, Clinton Co.","3,153"
"Chicken Girl1","Virginia","12,319"
"kiaa",NA,"1,032"
"Mac14","Northern California","2,200"
"Americano Blue","(Insert Something Sarcastic)","17,688"
"Chickenrandomness","Stanley, North Dakota","14,435"
"ChooksChick","Larry, KS","7,738"
"Kassaundra","Henryetta","16,499"
"artsyrobin","Muskogee OK","9,940"
"ADozenGirlz","Connecticut","6,121"
"Whittni","Southern Utah","3,689"
"Funky Feathers","Maryland","6,151"
"CochinBrahmaLover","Warm.... Under a blanket... In Alaska...","13,280"
"losttexan","Lubbock, TX","294"
"LaurEliz","Central Illinois","274"
"Mrs. Fluffy Puffy","Texas, Panhandle","15,968"
"ihavechickens2","Jemison, Alabama","490"
"onagadori","North Texas","1,386"
"willowbranchfarm","Virginia","9,771"
"DeannaOR","Colton, Oregon","968"
"bobzant","Perry, IL","242"
"The Red Rooster","Rapid City, South Dakota","4,203"
"Marthab1953","25 years  Jurupa Valley/Riverside CA. (58+Chicken","2,103"
"KYTinpusher","Northern KY","4,469"
"Birdrain92","Idaho","4,038"
"yomama","outside, except when I'm inside","5,206"
"banjoejoe4783","westville ok","2,458"
"WarrenHound","texas","314"
"BYC Project Manager",NA,"403"
"MammasBabies","Portland, Oregon","83"
"Mom 2em All","Dora, Alabama","4,030"
"BroodyHen2012","Ozark MO","56"
"michaelf","Cochran,Ga.","726"
"Mama Hen Chris","Peoria, AZ","1,789"
"Joe.G","Eastern NY","1,410"
"country_girl011","ohio","2,789"
"Jobele","Texas","317"
"6littlechickies","Burton,  OH","1,015"
"Opa","Howell Michigan","9,573"
"jessbonnitcha","Dapto","29"
"HallFamilyFarm","Monticello, Arkansas","5,683"
"Daddas1Punkin","Ca.","2,194"
"NanaK","North Carolina","91"
"LAseramas KP","LA , SoCal","1,181"
"Ilovemyduckies",NA,"3,127"
"SilkiesForEver",NA,"16,982"
"2StrayRoos","Edenton, North Carolina","211"
"kukupecpec","Tucson AZ","1,216"
"Orpingtons4U","Central Virginia","5,876"
"AmyLM","Buckley washington","644"
"Disco Hen","Sonoma CA","8,246"
"Coop de Grille","South Carolina","682"
"gotpotbellypig","Las Vegas, Nevada","478"
"shay20","in the wild, Mass","9,170"
"Sallysec","New York","974"
"ChickyChickens","BYC? Epic <3","10,452"
"GAFarmGirl87","NW Georgia","2,134"
"gabrielle1976","Columbia river gorge","5,561"
"bobbieschicks","King George, VA","4,565"
"littlecreekfarm","Virginia","3,594"
"wildwoodcochins","Ramsey, Southern Indiana","710"
"Shanty","Canutillo Texas","93"
"fishnet1971","'Bird 'n the Fluffy Butts coop in Ohio","5,583"
"NorthTexasWink","Arlington, Texas","1,117"
"FuzzyButtsFarm","Lake Wales, Polk Co. Fl","1,732"
"hdowden","louisiana","11,642"
"chirpingcricket","Fairhope, AL","1,930"
"Sudsy Chick","Washington State","1,043"
"Poultrybonkers",NA,"3,615"
"cree57i","Mt. Juliet, TN","1,279"
"omaeve","Shenandoah Valley of Virginia. Bentonville, Warren","421"
"yoie","Easternshore of Maryland","1,021"
"Farmerboy16","Sparta, MI","2,486"
"Terri O","WI~chickening for 30 years!","4,670"
"Apyl","Necedah, Wi","1,400"
"daynamariex",NA,"18"
"TheReidHomestead","Monroe, WA","2,479"
"ivan3","BOCOMO","4,511"
"winteree","We wear cowboy hats here guess where?","1,759"
"Blackberry18","Minnesota","1,805"
"Rudies Roost","Solihull, UK","344"
"Lamancha","Oregon","296"
"Outpost JWB","Ohio","3,467"
"WitchyCatlady","Colorado","86"
"Heidisgran","Burleson Texas","3,261"
"The Moonshiner","Missouri","5,589"
"PrimroseMom1","Baton Rouge, LA","2,739"
"HARRY47264","Bismarck AR","140"
"StelleKitten","Granbury, Tx","664"
"birdwrangler057","South Carolina","924"
"newhamplover","Okla.","98"
"mckeesbackyard","White Mountains, AZ","169"
"chick lovers","With my chickens.","469"
"Grassman 52","Ludlow Mass","315"
"pharmchickrnmom",NA,"2,110"
"lrayle","NC","223"
"PrettyPaws29","Georgia","12"
"kuchchicks",NA,"1,027"
"mom of silkies",NA,"437"
"TNBEARCHICK","Johnson City, Tennessee","3,310"
"BobBry","Montague, Mi","431"
"wolfinator","Mountains of Fayette County, WV","154"
"chiklee","Up on the hills of Pa. In no Mans Land","993"
"SnowPeeOstrichU","Pacific NW with 15 hens + 2 roos + 2 guinea hogs","455"
"minniechicks","Phenix City, AL","372"
"mixedUPturk","South Louisiana","4,726"
"Nksg75","Needville Texas","940"
"Tacampbell1973","Washington State","641"
"motherochickens","Maple Valley, WA","58"
"mynewbabies","Harrington,  Delaware","104"
"bellah1","Western Washington","451"
"kyla","Hope, Indiana","301"
"Egghead_Jr","NEK, VT","7,140"
"Homie Ducks","Pakistan","184"
"Diane8",NA,"33"
"Jude Turkman",NA,"57"
"flower","SW US Desert","3,202"
"AJ83","Texas","57"
"vpatt","Blue Ridge Mountains/Shenandoah Valley","1,686"
"BrickWall Honey","Accomac, Va.","320"
"BCMaraniac",NA,"1,860"
"Xovan","Oneida County , NY","383"
"Ariel188","Southern CA","596"
"stayathomechick","central, AR","29"
"Michael99","Litchfield Park, AZ","133"
"hbeam21","FL","100"
"SurfCityBumpkin","Huntington Beach, Ca","112"
"DHAllen0425","Huntington, WV","12"
"wornoutmomto3","Florida","1,001"
"Pozees","Pueblo, CO","3,535"
"judyki2004","Puerto Rico","133"
"chicks4fun","Frederick County MD","502"
"blairctchickens","North East Kansas","174"
"Wendy High","Ben Wheeler, Tx","377"
"SwampFoot",NA,"90"
"RobJones","Bohol Philippines","397"
"Scorpiochick","Haskell Texas","79"
"Pasha838","Moscow, Rusia","973"
"Biddiquack","Crothersville, Indiana","24"
"Faraday40","Illinois","9,364"
"PeacefulWalls","Goshen, Indiana","666"
"preciouskitty","Howell, MI","1,414"
"LeslieDJoyce","Sherwood, OR","3,677"
"thedragonlady","Camden,S.C.","3,410"
"FridayYet","The Land of Enchantment","12,757"
"flgardengirl","Sunny side up :)","4,636"
"RowanTheRed","Upstate South Carolina","489"
"LarryPQ",NA,"10,878"
"BYC Support",NA,"531"
"Coopa Cabana","Colorado","3,236"
"Elite Silkies","Oklahoma","5,410"
"pipdzipdnreadytogo","Indiana","7,782"
"ChickenLover200","I'll be in the barn!","7,611"
"roostersandhens","Saving Battery Hens at Happy Hen Chicken Rescue in","16,534"
"cluckcluckgirl","Tending to my chickens","2,982"
"Lothiriel","New York State","10,323"
"Book Em Danno25",NA,"10,859"
"weirdanne","east central Missouri","0"
"RodNTN","The Volunteer State","7,064"
"chickenhousesplus","Archer, Florida","21"
"mymilliefleur","East Tennessee.","5,994"
"crazypetlady","East Central Indiana","3,520"
"Cetawin","NW Kentucky","13,752"
"yinepu","Texas where we don't feed the Trolls...","7,629"
"ozark hen","Mansfield, MO","6,962"
"GardeNerd","Southern California","1,327"
"Dandelion007","Durant, OK","1,868"
"CherriesBrood","Golden State","1,686"
"Dawn419","Evening Shade, AR","3,366"
"Dancing With Chickens","North Carolina","123"
"Ur-ur-ur-urrr","Somewhere in MS","4,785"
"skullgrrrl",NA,"372"
"chickenpooplady","Ohio","1,622"
"LadyBeartoothMamma","Absarokee Montana","120"
"HarlansHollowFarms",NA,"2,895"
"Rare Feathers Farm","Pleasant Valley, (Okanogan) WA","13,102"
"Southernbelle","Virginia","5,905"
"greenfamilyfarms","Elizabethtown, NC","8,650"
"cluckmecoop7","North East USA","5,485"
"Mantha8225","In my Ranger cloak, watching you from the shadows.","4,994"
"Nutcase","Australia","1,440"
"ki4got","Roanoke VA","6,936"
"pinkwindsong","Laurens SC","1,655"
"Sumatra503",NA,"2,199"
"SunnyDawn","Nor Cal","7,863"
"Grey Bird Farm","Northern Utah","374"
"lotzahenz","Lexington, Kentucky","1,242"
"halo","Florida","6,069"
"ChrystalGail","Casa Grande, AZ","394"
"FluffTheDuck","AL, USA","2,532"
"The Angry Hen","Maine","3,722"
"mustangrooster","A little on the crazy side.","1,123"
"ChicknsRock",NA,"15,335"
"Red Barn Farms","Kentucky Heartland","3,157"
"fowlsessed","east Tennessee","1,534"
"TheIvoryKitty","Central California","147"
"kidcody","Autumn Farm English Orpingtons","7,237"
"Beth G.","New Haven County Connecticut","3,279"
"Pennyhibbitts","mineral wells","13"
"Windchyme","Gold Country, California","282"
"mschickychick","Mississippi","244"
"BeccaOH","east central Ohio","1,287"
"TerriLaChicks","Central Louisiana","5,006"
"gumpsgirl","Virginia","14,106"
"Patchesnposies","Southern New Mexico","1,264"
"wilds of pa","The Blue Mountains of Pa","2,601"
"Chicken-lovebirdchihuahua","North Carolina","1,438"
"chickencraz","Washington State","248"
"chicken4prez","Ontario, Canada","3,256"
"farm316",NA,"805"
"OrpieLover31","Earth","19,247"
"Roxannemc","SE Missouri","3,677"
"t0m","Downingtown, PA","41"
"Kuntry Klucker","Tennesee Smoky Mts.","1,622"
"wolftracks","Modesto","10,312"
"poultrygeist","Hunterdon Cty. NJ","171"
"Super Admin",NA,"97"
"cyrhere","Bacolod City","12"
"Melky","Edgewood, KY","3,887"
"BYCforlife","Alberta, Canada","2,364"
"Habibs Hens","London, UK","3,084"
"LuckyCluckyCA","Port of Los Angeles, CA","427"
"The Duck Ladie",NA,"2,539"
"Peep-Chicken","Michigan","6,396"
"BellevueOmlet",NA,"1,469"
"DeerChicken14",NA,"128"
"Thomas Lamprogiorgos","Greece","460"
"popsicle","Looking at the mountains in MT","1,799"
"The Yakima Kid","Valley of the Dominiques","1,850"
"Bridger Davis","Evans Colorado","671"
"randombrad",NA,"35"
"Tevyes Dad","Montana","2,665"
"dheltzel","Pottstown, PA","4,619"
"stefan333","KY","190"
"LilyAshley11",NA,"1,188"
"Stacia Goodman",NA,"1"
"Buddyfarm11","Phoenix,Arizona","209"
"RedDrgn","West Virginia","1,318"
"NixNoodleNumbat","Australia","6,698"
"Andrew Myers","North East Ohio","49"
"ldrchickens","Oklahoma","588"
"Shadow Source","Central Oregon","168"
"SavKel&RynKel","Bay Area, California","678"
"Quacking Pigeon","NSW, Australia","1,187"
"Chey06907",NA,"4"
"Ming Ming",NA,"132"
"Greg88","N.W. Arkansas","155"
"CochinLover1","Ohio","503"
"ChickenGrass","Republic of Ireland","1,196"
"Chickenchick11","Awkward Creature from the Depths of Minnesota","4,324"
"catcrazy632","<U+266A><U+266B><U+2665>  SOMEWHERE LISTENING TO MUSIC  <U+2665><U+266B><U+266A>","877"
"CrazyChookLady5","Australia, NSW","661"
"RussianChickens","Michigan (USA)","602"
"4H gal",NA,"154"
"crazyhatlady","NYS","85"
"Scott H","Twin Lakes, ID","1,391"
"tdhenson86","Paw Paw, Michigan","3,085"
"Incukahlan","Phoenix, AZ","104"
"Farmtruck","Meridian, Idaho","14"
"wjschieber","NY","1"
"red hen in the rain","Swisshome, Oregon","40"
"Trefoil",NA,"2,317"
"OldGuy43","Rainbow Bridge Ranch - Travis County, Texas","2,610"
"chickenlady3","Central California","107"
"pengimama","Irwin, OH","98"
"farmerChef","Southern Georgia","3,444"
"ReiMiraa","Leavenworth the ""German Town""","1,035"
"BarnGoddess01","north shore of Lake Erie","3,637"
"3riverschick",NA,"8,453"
"bnjrob","North TX","2,361"
"pips&peeps","Newman Lake, WA","8,431"
"MamaBear2016",NA,"33"
"Self sufficient chickens","Planet Earth, Solar System","208"
"RJClaveau",NA,"24"
"ourduckismilo","Iowa","17"
"lukeloveschickens1",NA,"3"
"SoftSilkie","Idaho","1,457"
"TheChiggens","Maine","1,240"
"DiYMama540","SW VA","3,942"
"OsceolaMomma","FL","81"
"AJKinville","Kinville Homestead","44"
"gtaus","Northern Minnesota","1,950"
"Jewelespc1010","Antioch, CA.","13"
"CLovesDucks","Wake Forest, NC","293"
"Button Quail 123",NA,"38"
"Tinkey71","Florida","107"
"AbelFarms",NA,"1"
"9SpiceyChickens","In the coop, Northern CA","960"
"AshleySGM","Easley, SC","204"
"crowdofmyself","Athens, GA","78"
"Beth the chicken mama","Idaho","18"
"SailorNoMore","near Olympia, WA","172"
"analyticalblonde","Tooele, UT","374"
"tnmcampbell",NA,"9"
"AnimalGeek23","New York State","1,152"
"BielefelderHen","England","339"
"CrystaBub","Shenandoah Valley","1,661"
"Dirabard","Harlem, GA","2"
"jsullivan704","Ohio","41"
"katt1268","Kentucky","4"
"Ladyxan","Iowa","44"
"Mraya","Walkertown,NC","515"
"PegsEggs","Eastern North Carolina","27"
"RebelChief","Brownsville, TX","403"
"steph1200","Oxnard","22"
"tamtbell","North Pole Alaska","31"
"TashaFrancois","Kansas City, MO","647"
"MattW","Rotherham, UK","362"
