name,phone,address,website
"Sebandon Hill Farm, LLC.",(434) 941-4577,"3805 Heights School rd
Pamplin, VA 23958
Rt 460 to Pamplin (Richmond Hwy), 460 Business into Pamplin (Pamplin Rd), Rt 660 (Heights School Rd) on right.",www.igotpigs.com
Highland Country Farmers' Market,NA,"61 Highland Center Drive
Monterey, VA 24465
",NA
Crumptown Farm,(434) 574-2227,NA,NA
Franchesca's Dawn Farm,(703) 424-6497,NA,NA
KellyBronze Turkeys,NA,"6975 Jarman's Gap Rd
Crozet, VA 22932",www.kellyturkeys.com
GTS Reality Farm,(804) 447-5540,"751 Canterbury Dr
Halifax, VA 24558
Saturdays at the Halifax Farmers Market ;on main st Also Our new location at 14208 Mountain Rd. Vernon Hill Tuesdays & Thursdays 1130 til 430 pm",
Griffin Farms,(540) 809-3456,"PO Box 43
Dugspur, VA 24325-0043",www.facebook.com/griffinfarmsvirginia/
Rancho Bajo La Luna,(540) 435-5738,"480 Harriston Road
Alondra Gonzalez
Grottoes , VA 24441",
Broad Shoulders Farm,(434) 489-7533,NA,
Virginia Food Works,(603) 686-6401,"7916 Abilene Rd
Farmville, VA 23901
Available by appointment only",www.virginiafoodworks.org
Elim Springs Dairy,(717) 209-1329,"401 Raines Tavern Rd.
Farmville, VA 23901
Please contact us to arrange a farm visit.",www.elimspringsfarm.com
Hobbit Hill Farm LLC,,"6460 Showalter Rd.
Mount Crawford, VA 22841",www.hobbithillfarm.com
Silver Maples Farm,(276) 728-7854,"41 Tall Pines Lane
Hillsville, VA 24343
Go east on the Rt. 58 bypass around Hillsville, and at the very end of the 4 lane section, turn left onto Rt. 820, Freemont Rd. Go about one half mile and turn right at our Silver Maples Farm sign. From that point simply follow the signs directly to our home based farm stand.",NA
Painter Farms Produce LLC,(276) 733-7078,"1005 Pilot View Road
Hillsville, VA 24343
Located between mile marker 187 & 188 off the Blue Ridge Parkway",
Village Wisdom Herbs,(276) 694-4369,"224 Cox Ridge Road
Claudville, VA 24076",www.peacefulheartfarm.com
Peaceful Heart Farm,(276) 694-4369,"224 Cox Ridge Road
Claudville, VA 24076",www.peacefulheartfarm.com
Natural Roots Farm,NA,"Ballards Mill Rd
Free Union, VA 22940",facebook.com/naturalrootsfarm.info
Ladybird Farm,NA,"6600 Blackwells Hollow Road
Crozet, VA 22932
Located on site at Wildrock next to the Patricia Ann Byrom Forest Preserve Park.",Ladybird.farm
Wildly-Growing,NA,"Hillsville, VA 24343",wildlygrowing Oberhasli.wordpress.com
Shady Lane Family Farm,(434) 985-2532,"159 Shady Lane
Free Union, VA 22940",www.barracksroadfarmmarket.com
Cedar Springs Farm & Dairy LLC,(434) 390-4666,"3655 Nutbush Rd
Victoria, VA 23974",www.cedarspringsfarmdairy.com
DENDI Ranch,(434) 374-2998,"650 Trottinridge Road
Clarksville, VA 23927",NA
Atelier Farm,,"3194 Preddy Creek Rd
Charlottesville, VA 22911
Keep left toward the top of the driveway, following the Atelier Farm signs.",atelier.farm
The Boot,(757) 627-2668,"123 W. 21st ST
Norfolk, VA 23517",NA
Grassfield Farms AG R & D Heirloom Seed Supplier,NA,"684 Shillelagh Rd
Chesapeake, VA 23323-6503",NA
Grassfield Farms LLC,(757) 535-0165,"684 Shillelagh Rd
Chesapeake, VA 23323",NA
Farmers' Fare at East Beach,(757) 773-6813,"4730 Hammock Lane
Norfolk, VA 23518",NA
Gee-Haw Farm,(757) 547-2338,"508 Albemarle Drive
Chesapeake, VA 23322",NA
Hickory Ridge Fam,(757) 560-6763,"2928 S. Battlefield Blvd.
Chesapeake , VA 23322
Parking is free. When heading south on the Chesapeake Expressway (168), take the 2nd Hillcrest Pkwy exit, turn right at the WaWa onto S. Battlefield Blvd. We are 2.5 miles from this turn on the right-hand side.",jrpx28.wix.com/hickoryridgefarm
Organic Food Depot #1,(757) 467-8999,"4301 Commuter Dr. #105
Virginia Beach, VA 23462",www.organicfooddepot.com
Born Free Farm,(276) 346-3851,"2073 Beech Grove Rd
JONESVILLE, VA 24263",bornfreefarm.webs.com
Mount Pleasant Farms,(757) 482-0739,"2201 Mt. Pleasant Rd.
Chesapeake, VA 23322",www.mountpleasantfarms.com
City of Virginia Beach Farmers Market,(757) 385-4395,"3640 Dam Neck Road
Virginia Beach, VA 23453",www.VBGov.com/farmersmarket
Skipper Farms,(757) 368-0355,"3640 Dam Neck Road
Virginia Beach, VA 23453",NA
Virginia Garden Organic Grocery,(757) 427-0378,"3640 Dam Neck Road
Virginia Beach, VA 23453",NA
Virginia Beach Farmers Market,(757) 385-4388,"3640 Dam Neck Rd.
Virginia Beach, VA 23453",NA
Quiet Water Farms,(757) 523-0927,NA,NA
Copper Cricket Farm,NA,"13586 Solitude Trail
Machipongo, VA 23405",www.coppercricketfarm.com
Mattawoman Creek Farms,(757) 678-5731,"4103 Barlow Creek Lane
Eastville, VA 23347",NA
Shockley Farms,(757) 331-1487,"23184 Seaside Road
Cape Charles, VA 23310",NA
Quail Cove Natural and Organic Foods,(757) 678-7783,"12435 Machipongo Lane
Machipongo, VA 23405",NA
Nimmo Community Garden,(757) 427-1765,"2200 Princess Anne Road
Virginia Beach, VA 23456
Garden is located at the end of the parking lot. You can park in the cul de sac.",nimmochurch.com
Old Beach Farmers Market,(757) 428-5444,"620 19th Street
Virginia Beach, VA 23451",NA
Red Mill Green Market,NA,"2181 Upton Drive
Virginia Beach, VA 23454",redmillcommons.net
Cullipher Farm Market,(757) 721-7456,"1444 Princess Anne Road
Va. Beach, VA 23456",NA
Roost Flowers & Designs,NA,NA,NA
O.K. Farms,(757) 442-4532,"31149 O.K. Farms Lane
Painter, VA 23420",NA
Pungo Naturals,(757) 449-8838,"1813 Gumbridge rd.
Virginia Beach, VA 23457",pungonaturals.com
Little Woods Farm,,NA,NA
Onancock Market,(757) 710-2028,"Corner of Market Street & Ames Street
Onancock, VA 23417
Ample parking in lot across the street.",onancockmarket.com
La Caridad Farm,(757) 710-7830,"25087 Parksley Road
Parksley, VA 23421",NA
Hopeton Farm,(757) 894-2434,"16476 Hopeton rd
Parksley, VA 23421",NA
